cid_10,descritor_cid
Y635,TEMPERATURA INADEQUADA DURANTE APLICACAO LOCAL OU CURATIVO
Y636,"NAO ADMINISTRACAO DE DROGA, MEDICAMENTO OU SUBSTANCIA BIOLOGICA NECESSARIA"
Y638,ERROS DE DOSAGEM DURANTE A PRESTACAO DE OUTRO CUIDADO MEDICO E CIRURGICO
Y639,"ERROS DE DOSAGEM DURANTE A PRESTACAO DE CUIDADOS MEDICO E CIRURGICO, NE"
Y64,MEDICAMENTOS OU SUBST. BIOLOGICAS CONTAMINADAS
Y640,TRANSFUSAO OU INFUSAO DE MEDICAMENTO OU SUBSTANCIA BIOLOGICA CONTAMINADAS
Y641,INJECAO OU VACINACAO COM MEDICAMENTO OU SUBSTANCIA BIOLOGICA CONTAMINADA
Y648,ADMINISTRACAO POR OUTROS MEIOS DE MEDICAMENTO OU SUBSTANCIA BIOLOGICAS CONTAMINA
Y649,"MEDICAMENTO E SUBSTANCIA BIOLOGICA COMTAMINADA, ADMINISTRADA POR MEIOS NE"
Y65,OUTROS ACIDENTES DURANTE A PRESTACAO DE CUIDADOS MEDICOS E CIRORGICOS
Y650,USO DE SANGUE INCOMPATIVEL EM TRANSFUSAO
Y651,USO DE LIQUIDO ERRADO EM INFUSAO
Y652,FALHA DE SUTURA OU DE LIGADURA DURANTE INTERVENCAO CIRURGICA
Y653,CANULA ENDOTRAQUEAL MAL POSICIONADA DURANTE PROCED. ANESTESICO
Y654,FALHA NA INTRODUCAO OU NA REMOCAO DE OUTRAS CANULAS OU INSTRUMENTOS
Y655,REALIZACAO DE UMA OPERACAO INAPROPRIADA
Y658,OUTROS ACIDENTES ESPECIFICADOS DURANTE A PRESTACAO DE CUIDADO MEDICO E CIRURGICO
Y66,NAO ADMINISTRACAO DE CUIDADO MEDICO E CIRORGICO
Y69,ACIDENTE NE DURANTE A PRESTACAO DE CUIDADO MEDICO E CIRORGICO
Y70,"DISPOSITIVOS (APARELHOS) DE ANESTESIOLOGIA, ASSOCIADOS A INCIDENTES ADVERSOS"
Y700,DISPOSITIVOS (APARELHOS) DE ANESTESIOLOGIA PARA FINS DIAGNOSTICOS OU DE MONITORI
Y701,DISPOSITIVOS (APARELHOS) DE ANESTESIOLOGIA PARA FINS TERAP#UTICOS (NAO-CIRURGICO
Y702,"PROTESES E OUTROS IMPLANTES DE ANESTESIOLOGIA, INCLUINDO MATERIAIS E ACESSORIOS,"
Y703,"INSTRUMENTOS, MATERIAIS E APARELHOS CIRURGICOS DE ANESTESIOLOGIA (INCLUINDO SUTU"
Y708,"DISPOSITIVOS (APARELHOS) DIVERSOS DE ANESTESIOLOGIA, INCLUSIVE COMBINACOES, N/CL"
Y71,"DISPOSITIVOS (APARELHOS) CARDIOVASCULARES, ASSOCIADOS A INCIDENTES ADVERSOS"
Y710,DISPOSITIVOS (APARELHOS) CARDIOVASCULARES PARA FINS DIAGNOSTICOS OU DE MONITORIZ
Y711,DISPOSITIVOS (APARELHOS) CARDIOVASCULARES PARA FINS TERAP#UTICOS (NAO-CIRURGICOS
Y712,"PROTESES E OUTROS IMPLANTES CARDIOVASCULARES, INCLUINDO MATERIAIS E ACESSORIOS,"
Y713,"INSTRUMENTOS, MATERIAIS E APARELHOS CIRURGICOS CARDIOVASCULARES (INCLUINDO SUTUR"
Y718,"DISPOSITIVOS (APARELHOS) CARDIOVASCULARES DIVERSOS, INCLUSIVE COMBINACOES, N/CLA"
Y72,"DISPOSITIVOS (APARELHOS) UTILIZADOS EM OTORRINOLARINGOLOGIA, ASSOCIADOS A INCI"
Y720,DISPOSITIVOS (APARELHOS) UTILIZADOS EM OTORRINOLARINGOLOGIA PARA FINS DIAGNOSTIC
Y721,DISPOSITIVOS (APARELHOS) UTILIZADOS EM OTORRINOLARINGOLOGIA PARA FINS TERAP#UTIC
Y722,"PROTESES E OUTROS IMPLANTES UTILIZADOS EM OTORRINOLARINGOLOGIA, INCLUINDO MATERI"
Y723,"INSTRUMENTOS, MATERIAIS E APARELHOS CIRURGICOS UTILIZADOS EM OTORRINOLARINGOLOGI"
Y728,"DISPOSITIVOS (APARELHOS) DIVERSOS UTILIZADOS EM OTORRINOLARINGOLOGIA, INCLUSIVE"
Y73,"DISPOSITIVOS (APARELHOS) USADOS EM GASTROENTEROLOGIA E EM UROLOGIA, ASSOCIADOS"
Y730,DISPOSITIVOS (APARELHOS) USADOS EM GASTROENTEROLOGIA E EM UROLOGIA PARA FINS DIA
Y731,DISPOSITIVOS (APARELHOS) USADOS EM GASTROENTEROLOGIA E EM UROLOGIA PARA FINS TER
Y732,"PROTESES E OUTROS IMPLANTES USADOS EM GASTROENTEROLOGIA E EM UROLOGIA, INCLUINDO"
Y733,"INSTRUMENTOS, MATERIAIS E APARELHOS CIRURGICOS USADOS EM GASTROENTEROLOGIA E EM"
Y738,"DISPOSITIVOS (APARELHOS) DIVERSOS USADOS EM GASTROENTEROLOGIA E EM UROLOGIA, INC"
Y74,"DISPOSITIVOS (APARELHOS) GERAIS DE USO HOSPITALAR OU PESSOAL, ASSOCIADOS A INC"
Y740,DISPOSITIVOS (APARELHOS) GERAIS DE USO HOSPITALAR OU PESSOAL PARA FINS DIAGNOSTI
Y741,DISPOSITIVOS (APARELHOS) GERAIS DE USO HOSPITALAR OU PESSOAL PARA FINS TERAP#UTI
Y742,"PROTESES E OUTROS IMPLANTES GERAIS DE USO HOSPITALAR OU PESSOAL, INCLUINDO MATER"
Y743,"INSTRUMENTOS, MATERIAIS E APARELHOS CIRURGICOS GERAIS DE USO HOSPITALAR OU PESSO"
Y748,"DISPOSITIVOS (APARELHOS) DIVERSOS GERAIS DE USO HOSPITALAR OU PESSOAL, INCLUSIVE"
Y75,"DISPOSITIVOS (APARELHOS) UTILIZADOS EM NEUROLOGIA, ASSOCIADOS A INCIDENTES ADV"
Y750,DISPOSITIVOS (APARELHOS) UTILIZADOS EM NEUROLOGIA PARA FINS DIAGNOSTICOS OU DE M
Y751,DISPOSITIVOS (APARELHOS) UTILIZADOS EM NEUROLOGIA PARA FINS TERAP#UTICOS (NAO-CI
Y752,"PROTESES E OUTROS IMPLANTES UTILIZADOS EM NEUROLOGIA, INCLUINDO MATERIAIS E ACES"
Y753,"INSTRUMENTOS, MATERIAIS E APARELHOS CIRURGICOS UTILIZADOS EM NEUROLOGIA (INCLUIN"
Y758,"DISPOSITIVOS (APARELHOS) DIVERSOS UTILIZADOS EM NEUROLOGIA, INCLUSIVE COMBINACOE"
Y76,"DISPOSITIVOS (APARELHOS) UTILIZADOS EM OBSTETRICIA E EM GINECOLOGIA, ASSOCIADO"
Y760,DISPOSITIVOS (APARELHOS) UTILIZADOS EM OBSTETRICIA E EM GINECOLOGIA PARA FINS DI
Y761,DISPOSITIVOS (APARELHOS) UTILIZADOS EM OBSTETRICIA E EM GINECOLOGIA PARA FINS TE
Y762,"PROTESES E OUTROS IMPLANTES UTILIZADOS EM OBSTETRICIA E EM GINECOLOGIA, INCLUIND"
Y763,"INSTRUMENTOS, MATERIAIS E APARELHOS CIRURGICOS UTILIZADOS EM OBSTETRICIA E EM GI"
Y768,"DISPOSITIVOS (APARELHOS) DIVERSOS UTILIZADOS EM OBSTETRICIA E EM GINECOLOGIA, IN"
Y77,"DISPOSITIVOS (APARELHOS) UTILIZADOS EM OFTALMOLOGIA, ASSOCIADOS A INCIDENTES A"
Y770,DISPOSITIVOS (APARELHOS) UTILIZADOS EM OFTALMOLOGIA PARA FINS DIAGNOSTICOS OU DE
Y771,DISPOSITIVOS (APARELHOS) UTILIZADOS EM OFTALMOLOGIA PARA FINS TERAP#UTICOS (NAO-
Y772,"PROTESES E OUTROS IMPLANTES UTILIZADOS EM OFTALMOLOGIA, INCLUINDO MATERIAIS E AC"
Y773,"INSTRUMENTOS, MATERIAIS E APARELHOS CIRURGICOS UTILIZADOS EM OFTALMOLOGIA (INCLU"
Y778,"DISPOSITIVOS (APARELHOS) DIVERSOS UTILIZADOS EM OFTALMOLOGIA, INCLUSIVE COMBINAC"
Y78,"DISPOSITIVOS (APARELHOS) UTILIZADOS EM RADIOLOGIA, ASSOCIADOS A INCIDENTES ADV"
Y780,DISPOSITIVOS (APARELHOS) UTILIZADOS EM RADIOLOGIA PARA FINS DIAGNOSTICOS OU DE M
Y781,DISPOSITIVOS (APARELHOS) UTILIZADOS EM RADIOLOGIA PARA FINS TERAP#UTICOS (NAO-CI
Y782,"PROTESES E OUTROS IMPLANTES UTILIZADOS EM RADIOLOGIA, INCLUINDO MATERIAIS E ACES"
Y783,"INSTRUMENTOS, MATERIAIS E APARELHOS CIRURGICOS UTILIZADOS EM RADIOLOGIA (INCLUIN"
Y788,"DISPOSITIVOS (APARELHOS) DIVERSOS UTILIZADOS EM RADIOLOGIA, INCLUSIVE COMBINACOE"
Y79,"DISPOSITIVOS (APARELHOS) ORTOPEDICOS, ASSOCIADO A INCIDENTES ADVERSOS"
Y790,"DISPOSITIVOS (APARELHOS) ORTOPEDICOS PARA FINS DIAGNOSTICOS OU DE MONITORIZACAO,"
Y791,DISPOSITIVOS (APARELHOS) ORTOPEDICOS PARA FINS TERAP#UTICOS (NAO-CIRURGICOS) E A
Y792,"PROTESES E OUTROS IMPLANTES ORTOPEDICOS, INCLUINDO MATERIAIS E ACESSORIOS, ASSOC"
Y793,"INSTRUMENTOS, MATERIAIS E APARELHOS CIRURGICOS ORTOPEDICOS (INCLUINDO SUTURAS),"
Y798,"DISPOSITIVOS (APARELHOS) DIVERSOS ORTOPEDICOS, INCLUSIVE COMBINACOES,NAO CLASS. E"
Y80,"DISPOSITIVOS (APARELHOS) UTILIZADOS EM MEDICINA FISICA (FISIATRIA), ASSOCIADO"
Y800,DISPOSITIVOS (APARELHOS) UTILIZADOS EM MEDICINA FISICA (FISIATRIA) PARA FINS DIA
Y801,DISPOSITIVOS (APARELHOS) UTILIZADOS EM MEDICINA FISICA (FISIATRIA) PARA FINS TER
Y802,"PROTESES E OUTROS IMPLANTES UTILIZADOS EM MEDICINA FISICA (FISIATRIA), INCLUINDO"
Y803,"INSTRUMENTOS, MATERIAIS E APARELHOS CIRURGICOS UTILIZADOS EM MEDICINA FISICA (FI"
Y808,"DISPOSITIVOS (APARELHOS) DIVERSOS UTILIZADOS EM MEDICINA FISICA (FISIATRIA), INC"
Y81,"DISPOSITIVOS (APARELHOS) UTILIZADOS EM CIRURGIA GERAL OU CIRURGIA PLASTICA, AS"
Y810,DISPOSITIVOS (APARELHOS) UTILIZADOS EM CIRURGIA GERAL OU CIRURGIA PLASTICA PARA
Y811,DISPOSITIVOS (APARELHOS) UTILIZADOS EM CIRURGIA GERAL OU CIRURGIA PLASTICA PARA
Y812,"PROTESES E OUTROS IMPLANTES UTILIZADOS EM CIRURGIA GERAL OU CIRURGIA PLASTICA, I"
Y813,"INSTRUMENTOS, MATERIAIS E APARELHOS CIRURGICOS UTILIZADOS EM CIRURGIA GERAL OU C"
Y818,DISPOSITIVOS (APARELHOS) DIVERSOS UTILIZADOS EM CIRURGIA GERAL OU CIRURGIA PLAST
Y82,OUTROS DISPOSITIVOS (APARELHOS) ASSOCIADOS A INCIDENTES ADVERSOS E OS NE
Y820,OUTROS DISPOSITIVOS (APARELHOS) PARA FINS DIAGNOSTICOS OU DE MONITORIZACAO ASSOC
Y821,OUTROS DISPOSITIVOS (APARELHOS) PARA FINS TERAP#UTICOS (NAO-CIRURGICOS) E APAREL
Y822,"OUTRAS PROTESES E OUTROS IMPLANTES, INCLUINDO MATERIAIS E ACESSORIOS ASSOCIADOS"
Y823,"OUTROS INSTRUMENTOS, MATERIAIS E APARELHOS CIRURGICOS (INCLUINDO SUTURAS) ASSOCI"
Y828,"OUTROS DISPOSITIVOS (APARELHOS) DIVERSOS, INCLUSIVE COMBINACOES,NAO CLASS. EM OUT"
Y83,"REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA, CAUSADAS POR INTERVENCAO CIR"
Y830,REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA EM INTERVENCAO CIRURGICA COM TR
Y831,REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA EM INTERVENCAO CIRURGICA COM IM
Y832,REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA EM INTERVENCAO CIRURGICA COM AN
Y833,REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA EM INTERVENCAO CIRURGICA COM FO
Y834,REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA EM OUTRAS CIRURGIAS REPARADORAS
Y835,"REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA EM AMPUTACAO DE MEMBRO(S), SEM"
Y836,REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA EM REMOCAO DE UM OUTRO ORGAO (P
Y838,REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA EM OUTRAS INTERVENCOES OU PROCE
Y839,REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA EM INTERVENCAO CIRURGICA NE
Y84,"REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA, CAUSADAS POR OUTROS PROCEDIM"
Y840,"REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA, CAUSADAS POR CATETERISMO CARDI"
Y841,"REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA, CAUSADAS POR HEMODIALISE, SEM"
Y842,"REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA, CAUSADAS POR PROCED. RADIOLOGI"
Y843,"REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA, CAUSADAS POR TERAPIA POR CHOQU"
Y844,"REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA, CAUSADAS POR ASPIRACAO DE LIQU"
Y845,"REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA, CAUSADAS POR COLOCACAO DE SOND"
Y846,"REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA, CAUSADAS POR CATETERISMO URINA"
Y847,"REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA, CAUSADAS POR AMOSTRA DE SANGUE"
Y848,"REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA, CAUSADAS POR OUTROS PROCED.S M"
Y849,"REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA, CAUSADAS POR PROCED. MEDICO N/"
Y85,SEQUELAS DE ACIDENTES DE TRANSP.
Y850,SEQUELAS DE UM ACIDENTE DE VEICULO A MOTOR
Y859,SEQUELAS DE OUTROS ACIDENTES DE TRANSPORTE E DOS NE
Y86,SEQUELAS DE OUTROS ACIDENTES
Y87,"SEQUELAS DE UMA LESAO AUTOPROVOCADA INTENCIONALMENTE, DE AGRESSAO OU DE UM FAT"
Y870,SEQUELAS DE LESOES AUTOPROVOCADAS INTENCIONALMENTE
Y871,SEQUELAS DE UMA AGRESSAO
Y872,SEQUELAS DE UM FATO CUJA INTENCAO E INDETERMINADA
Y88,SEQUELAS DE CUIDADO MEDICO OU CIRORGICO CONSIDERADOS COMO UMA CAUSA EXTERNA
Y880,"SEQUELAS DE EFEITOS ADVERSOS CAUSADOS POR DROGAS, MEDICAMENTOS OU SUBSTANCIAS BI"
Y881,SEQUELAS DE ACIDENTES DURANTE A PRESTACAO DE CUIDADO MEDICO E CIRURGICO
Y882,SEQUELAS DE INCIDENTES ADVERSOS ASSOCIADOS COM O USO DE DISPOSITIVOS (APARELHOS)
Y883,SEQUELAS DE REACAO ANORMAL EM PACIENTE OU COMPLICACAO TARDIA CAUSADA POR PROCED.
Y89,SEQUELAS DE OUTRAS CAUSAS EXTERNAS
Y890,SEQUELAS DE INTERVENCAO LEGAL
Y891,SEQUELAS DE OPERACOES DE GUERRA
Y899,SEQUELAS DE CAUSA EXTERNA NE
Y90,EVIDENCIA DE ALCOOLISMO DETERMINADA POR TAXAS DE ALCOOLEMIA
Y900,ALCOOLEMIA INFERIOR A 20 MG/100 ML
Y901,ALCOOLEMIA DE 20-39 MG/100ML
Y902,ALCOOLEMIA DE 40-59 MG/100ML
Y903,ALCOOLEMIA DE 60-79 MG/100ML
Y904,ALCOOLEMIA DE 80-99 MG/100ML
Y905,ALCOOLEMIA DE 100-119 MG/100ML
Y906,ALCOOLEMIA DE 120-199 MG/100ML
Y907,ALCOOLEMIA DE 200-239 MG/100ML
Y908,ALCOOLEMIA IGUAL OU SUPERIOR A 240 MG/100ML
Y909,"PRESENCA DE ALCOOL NO SANGUE, TAXA NE"
Y91,EVIDENCIA DE ALCOOLISMO DETERMINADA PELO NIVEL DA INTOXICACAO
Y910,INTOXICACAO ALCOOLICA LEVE
Y911,INTOXICACAO ALCOOLICA MODERADA
Y912,INTOXICACAO ALCOOLICA GRAVE
Y913,INTOXICACAO ALCOOLICA MUITO GRAVE
Y919,ENVOLVIMENTO COM ALCOOL NE DE OUTRA FORMA
Y95,CIRCUNSTANCIA RELATIVA AS CONDICOES NOSOCOMIAIS (HOSPITALARES)
Y96,CIRCUNSTANCIA RELATIVA AS CONDICOES DE TRABALHO
Y97,CIRCUNSTANCIAS RELATIVAS A CONDICOES DE POLUICAO AMBIENTAL
Y98,CIRCUNSTANCIAS RELATIVAS A CONDICOES DO MODO DE VIDA
Z00,EXAME GERAL E INVESTIGACAO DE PESSOAS SEM QUEIXAS OU DIAGNOSTICO RELATADO
Z000,EXAME MEDICO GERAL
Z001,EXAME DE ROTINA DE SAUDE DA CRIANCA
Z002,EXAME NO PERIODO DE CRESCIMENTO RAPIDO NA INFANCIA
Z003,EXAME DO ADOLESCENTE DURANTE O CRESCIMENTO NA PUBERDADE
Z004,EXAME PSIQUIATRICO GERAL NAO CLASSIF. EM OUTRA PARTE
Z005,EXAME DE DOADOR POTENCIAL DE ORGAO E TECIDO
Z006,EXAME PARA COMPARACAO OU DE CONTROLE DE NORMALIDADE NUM PROGRAMA DE INVESTIGACAO
Z008,OUTROS EXAMES GERAIS
Z01,OUTROS EXAMES E INVESTIGACOES ESPECIAIS DE PESSOAS SEM QUEIXA OU DIAGNOSTICO R
Z010,EXAME DOS OLHOS E DA VISAO
Z011,EXAME DOS OUVIDOS E DA AUDICAO
Z012,EXAME DENTARIO
Z013,EXAME DA PRESSAO ARTERIAL
Z014,EXAME GINECOLOGICO (GERAL) (DE ROTINA)
Z015,TESTES CUTANEOS DE DIAGNOSTICO E SENSIBILIZACAO
Z016,EXAME RADIOLOGICO NAO CLASSIF. EM OUTRA PARTE
Z017,EXAME DE LABORATORIO
Z018,OUTROS EXAMES ESPECIAIS ESPECIFICADOS
Z019,EXAME ESPECIAL NE
Z02,EXAME MEDICO E CONSULTA COM FINALIDADES ADMINISTRATIVAS
Z020,EXAME PARA ADMISSAO A INSTITUICAO EDUCACIONAL
Z021,EXAME PRE-EMPREGO (PRE-ADMISSIONAL)
Z022,EXAME PARA ADMISSAO EM INSTITUICAO RESIDENCIAL
Z023,EXAME PARA A INCORPORACAO NAS FORCAS ARMADAS
Z024,EXAME PARA LICENCA PARA A CONDUCAO DE VEICULOS (CARTEIRA DE MOTORISTA)
Z025,EXAME PARA PARTICIPACAO EM ESPORTE
Z026,EXAME PARA FINS DE SEGURO
Z027,OBTENCAO DE ATESTADO MEDICO
Z028,OUTROS EXAMES PARA PROPOSITOS ADMINISTRATIVOS
Z029,EXAME NE COM FINALIDADES ADMINISTRATIVAS
Z03,OBSERVACAO E AVALIACAO MEDICA POR DOENCAS E AFECCOES SUSPEITAS
Z030,OBSERVACAO POR SUSPEITA DE TUBERCULOSE
Z031,OBSERVACAO POR SUSPEITA DE NEOPLASIA MALIGNA
Z032,OBSERVACAO POR SUSPEITA DE TRANSTORNOS MENTAIS E DO COMPORTAMENTO
Z033,OBSERVACAO POR SUSPEITA DE TRANSTORNO DO SISTEMA NERVOSO
Z034,OBSERVACAO POR SUSPEITA DE INFARTO DO MIOCARDIO
Z035,OBSERVACAO POR SUSPEITA DE OUTRAS DOENCAS CARDIOVASCULARES
Z036,OBSERVACAO POR SUSPEITA DE EFEITO TOXICO DE SUBSTANCIA INGERIDA
Z038,OBSERVACAO POR SUSPEITA DE OUTRAS DOENCAS E AFECCOES
Z039,OBSERVACAO POR SUSPEITA DE DOENCA OU AFECCAO NE
Z04,EXAME E OBSERVACAO POR OUTRAS RAZOES
Z040,TESTE PARA ALCOOL E PARA DROGAS NO SANGUE
Z041,EXAME E OBSERVACAO APOS ACIDENTE DE TRANSPORTE
Z042,EXAME E OBSERVACAO APOS ACIDENTE DE TRABALHO
Z043,EXAME E OBSERVACAO APOS OUTRO ACIDENTE
Z044,EXAME E OBSERVACAO APOS ALEGACAO DE ESTUPRO E SEDUCAO
Z045,EXAME E OBSERVACAO APOS OUTROS FERIMENTOS INFLIGIDOS
Z046,"EXAME PSIQUIATRICO GERAL, REQUERIDO POR AUTORIDADE"
Z048,EXAME E OBSERVACAO POR OUTRAS RAZOES ESPECIFICADAS
Z049,EXAME E OBSERVACAO POR RAZAO NE
Z08,EXAME DE SEGUIMENTO APOS TRATAMENTO POR NEOPLASIA MALIGNA
Z080,EXAME DE SEGUIMENTO APOS TRATAMENTO CIRURGICO DE NEOPLASIA MALIGNA
Z081,EXAME DE SEGUIMENTO APOS RADIOTERAPIA POR NEOPLASIA MALIGNA
Z082,EXAME DE SEGUIMENTO APOS QUIMIOTERAPIA POR NEOPLASIA MALIGNA
Z087,EXAME DE SEGUIMENTO APOS TRATAMENTO MISTO POR NEOPLASIA MALIGNA
Z088,EXAME DE SEGUIMENTO APOS OUTRO TRATAMENTO POR NEOPLASIA MALIGNA
Z089,EXAME DE SEGUIMENTO APOS TRATAMENTO NE POR NEOPLASIA MALIGNA
Z09,EXAME DE SEGUIMENTO APOS TRATAMENTO DE OUTRAS AFECCOES QUE NAO NEOPLASIAS MALI
Z090,EXAME DE SEGUIMENTO APOS CIRURGIA POR OUTRAS AFECCOES
Z091,EXAME DE SEGUIMENTO APOS RADIOTERAPIA POR OUTRAS AFECCOES
Z092,EXAME DE SEGUIMENTO APOS QUIMIOTERAPIA POR OUTRAS AFECCOES
Z093,EXAME DE SEGUIMENTO APOS PSICOTERAPIA
Z094,EXAME DE SEGUIMENTO APOS TRATAMENTO DE FRATURA
Z097,EXAME DE SEGUIMENTO APOS TRATAMENTO COMBINADO POR OUTRAS AFECCOES
Z098,EXAME DE SEGUIMENTO APOS OUTRO TRATAMENTO POR OUTRAS AFECCOES
Z099,EXAME DE SEGUIMENTO APOS TRATAMENTO NE POR OUTRAS AFECCOES
Z10,"EXAME GERAL DE ROTINA (""CHECK UP"") DE UMA SUBPOPULACAO DEFINIDA"
Z100,EXAME DE SAUDE OCUPACIONAL
Z101,EXAME GERAL DE ROTINA DE RESIDENTES DE INSTITUICOES
Z102,EXAME GERAL DE ROTINA DE PESSOAS DAS FORCAS ARMADAS
Z103,EXAME GERAL DE ROTINA DE EQUIPE ESPORTIVA
Z108,EXAME GERAL DE ROTINA DE OUTRA SUBPOPULACAO DEFINIDA
Z11,"EXAME ESPEC. DE RASTREAMENTO (""SCREENING"") DE DOENCAS INFECCIOSAS E PARASITARI"
Z110,EXAME ESPECIAL DE RASTREAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS
Z111,EXAME ESPECIAL DE RASTREAMENTO DE TUBERCULOSE PULMONAR
Z112,EXAME ESPECIAL DE RASTREAMENTO DE OUTRAS DOENCAS BACTERIANAS
Z113,EXAME ESPECIAL DE RASTREAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEX
Z114,EXAME ESPECIAL DE RASTREAMENTO DE VIRUS DA IMUNODEFICI#NCIA HUMANA [HIV]
Z115,EXAME ESPECIAL DE RASTREAMENTO DE OUTRAS DOENCAS VIRAIS
Z116,EXAME ESPECIAL DE RASTREAMENTO DE OUTRAS DOENCAS POR PROTOZOARIOS E POR HELMINTO
Z118,EXAME ESPECIAL DE RASTREAMENTO DE OUTRAS DOENCAS INFECCIOSAS E PARASITARIAS
Z119,EXAME ESPECIAL DE RASTREAMENTO PARA DOENCA INFECCIOSA E PARASITARIA NE
Z12,"EXAME ESPEC. DE RASTREAMENTO (""SCREENING"") DE NEOPLASIAS"
Z120,EXAME ESPECIAL DE RASTREAMENTO DE NEOPLASIA DO ESTOMAGO
Z121,EXAME ESPECIAL DE RASTREAMENTO DE NEOPLASIA DO TRATO INTESTINAL
Z122,EXAME ESPECIAL DE RASTREAMENTO DE NEOPLASIA DE ORGAOS RESPIRATORIOS
Z123,EXAME ESPECIAL DE RASTREAMENTO DE NEOPLASIA DE MAMA
Z124,EXAME ESPECIAL DE RASTREAMENTO DE NEOPLASIA DO COLO DO UTERO
Z125,EXAME ESPECIAL DE RASTREAMENTO DE NEOPLASIA DA PROSTATA
Z126,EXAME ESPECIAL DE RASTREAMENTO DE NEOPLASIA DA BEXIGA
Z128,EXAME ESPECIAL DE RASTREAMENTO DE NEOPLASIAS DE OUTRAS LOCALIZACOES
Z129,EXAME ESPECIAL DE RASTREAMENTO DE NEOPLASIA NE
Z13,"EXAME ESPEC. DE RASTREAMENTO (""SCREENING"") DE OUTROS TRANSTORNOS E DOENCAS"
Z130,EXAME ESPECIAL DE RASTREAMENTO DE DOENCAS DO SANGUE E DOS ORGAOS HEMATOPOIETICOS
Z131,EXAME ESPECIAL DE RASTREAMENTO DE DIABETES MELLITUS
Z132,EXAME ESPECIAL DE RASTREAMENTO DE TRANSTORNOS NUTRICIONAIS
Z133,EXAME ESPECIAL DE RASTREAMENTO DE TRANSTORNOS MENTAIS E DO COMPORTAMENTO
Z134,EXAME ESPECIAL DE RASTREAMENTO DE ALGUNS TRANSTORNOS DO DESENVOLVIMENTO NA INFAN
Z135,EXAME ESPECIAL DE RASTREAMENTO DE DOENCAS DOS OUVIDOS E DOS OLHOS
Z136,EXAME ESPECIAL DE RASTREAMENTO DE DOENCAS CARDIOVASCULARES
Z137,"EXAME ESPECIAL DE RASTREAMENTO DE MALFORMACOES CONG#NITAS, DEFORMIDADES E ANOMAL"
Z138,EXAME ESPECIAL DE RASTREAMENTO DE OUTRAS DOENCAS E TRANSTORNOS ESPECIFICADOS
Z139,EXAME ESPECIAL DE RASTREAMENTO NE
Z20,CONTATO COM E EXPOSICAO A DOENCAS TRANSMISSIVEIS
Z200,CONTATO COM E EXPOSICAO A DOENCAS INFECCIOSAS INTESTINAIS
Z201,CONTATO COM E EXPOSICAO # TUBERCULOSE
Z202,CONTATO COM E EXPOSICAO A INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL
Z203,CONTATO COM E EXPOSICAO # RAIVA
Z204,CONTATO COM E EXPOSICAO # RUBEOLA
Z205,CONTATO COM E EXPOSICAO # HEPATITE VIRAL
Z206,CONTATO COM E EXPOSICAO AO VIRUS DA IMUNODEFICIENCIA HUMANA [HIV]
Z207,"CONTATO COM E EXPOSICAO # PEDICULOSE, ACARIASE E OUTRAS INFESTACOES"
Z208,CONTATO COM E EXPOSICAO A OUTRAS DOENCAS TRANSMISSIVEIS
Z209,CONTATO COM E EXPOSICAO A DOENCA TRANSMISSIVEL NE
Z21,ESTADO DE INFECCAO ASSINTOMATICA PELO VIRUS DA IMUNODEFICIENCIA HUMANA [HIV]
Z22,PORTADOR DE DOENCA INFECCIOSA
Z220,PORTADOR DE FEBRE TIFOIDE
Z221,PORTADOR DE OUTRAS DOENCAS INFECCIOSAS INTESTINAIS
Z222,PORTADOR DE DIFTERIA
Z223,PORTADOR DE OUTRAS DOENCAS BACTERIANAS ESPECIFICADAS
Z224,PORTADOR DE INFECCOES COM MODO DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL
Z225,PORTADOR DE HEPATITE VIRAL
Z226,PORTADOR DE INFECCAO PELO VIRUS T-LINFOTROPICO TIPO 1 [HTLV-1]
